,Affiliate,Age,Height,Weight,Sprint 400m,Clean & Jerk,Snatch,Deadlift,Back Squat,Max Pull-ups
Austin Boggan,CrossFit Reality,21.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Pierre Roux,Unaffiliated,23.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Chas Clark,CrossFit Alliance,26.0,6.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Damian Kobielak,CrossFit 3miasto,32.0,7.0,220.0,--,0.0,0.0,0.0,0.0,0.0
Emil Gunnberg Querat,CrossFit Tegen,22.0,0.0,203.0,--,0.0,0.0,0.0,0.0,0.0
Nick Rouse,CrossFit CM2,33.0,7.0,188.0,0:59,352.0,266.0,518.0,462.0,79.0
Fiodor Serkov,CrossFit EKB,24.0,6.0,198.0,--,324.0,264.0,462.0,440.0,80.0
Ivan Gaitan,BIGG CrossFit Palermo Chico,26.0,6.0,0.0,--,286.0,209.0,485.0,352.0,0.0
Richard Smith,CrossFit Kyalami,28.0,7.0,187.0,0:00,305.0,235.0,485.0,418.0,70.0
Ron Harvey,East West CrossFit,33.0,6.0,187.0,1:00,0.0,0.0,462.0,396.0,0.0
Francois Leclerc,Physics CrossFit,32.0,0.0,175.0,--,0.0,0.0,0.0,0.0,0.0
David Schroeder,Lat 45 CrossFit,33.0,75.0,210.0,0:00,320.0,250.0,565.0,460.0,0.0
Tyler Eggimann,Kulak CrossFit,24.0,70.0,195.0,--,315.0,255.0,500.0,425.0,63.0
Doug Springer,Salt Lake City CrossFit (SLC),29.0,71.0,172.0,55:00,295.0,245.0,450.0,405.0,74.0
James Kapacila,CrossFit Prince Albert,19.0,69.0,180.0,0:54,295.0,255.0,405.0,380.0,0.0
Jonathan Lipp,,32.0,70.0,169.0,1:05,295.0,215.0,455.0,355.0,55.0
Matias Friz,San Francisco CrossFit,24.0,69.0,170.0,--,265.0,205.0,0.0,0.0,0.0
Jonathan Houle,CrossFit Pro1,27.0,70.0,190.0,--,0.0,0.0,0.0,0.0,0.0
Braeden Long,CrossFit Brigade,23.0,71.0,205.0,1:03,350.0,290.0,500.0,455.0,44.0
Ruben Perez,CrossFit Napa Valley,29.0,76.0,250.0,1:05,370.0,300.0,535.0,500.0,48.0
Josh Boonstra,CrossFit BelRed,33.0,6.0,203.0,--,295.0,225.0,435.0,410.0,51.0
Andy Aragon,Woodward CrossFit,30.0,70.0,180.0,--,0.0,0.0,0.0,0.0,0.0
james keeler,Unaffiliated,32.0,68.0,178.0,--,310.0,250.0,500.0,375.0,63.0
Daniel Skidmore,Unaffiliated,28.0,72.0,200.0,0:58,315.0,275.0,565.0,470.0,30.0
Andres Villalobos,CrossFit Las Cruces,28.0,68.0,155.0,1:02,285.0,220.0,490.0,375.0,58.0
Brandon Brasseaux,CrossFit Mid-County,31.0,71.0,212.0,--,335.0,255.0,485.0,495.0,50.0
Casey Haines,CrossFit Explode,25.0,73.0,225.0,0:00,0.0,0.0,0.0,0.0,0.0
John Sansbury,Friendship CrossFit,29.0,69.0,195.0,--,305.0,225.0,500.0,425.0,0.0
James Bevan-lee,CrossFit West Seattle,28.0,0.0,195.0,0:00,0.0,0.0,0.0,0.0,0.0
Scott Hutchison,Lotus CrossFit,34.0,6.0,180.0,1:02,313.0,246.0,551.0,462.0,67.0
Matt Breen,CrossFit Islander,25.0,71.0,175.0,--,0.0,0.0,0.0,0.0,0.0
Luke Starr,CrossFit Active Artarmon,33.0,6.0,176.0,0:00,304.0,231.0,540.0,462.0,70.0
Anthony Baranta,CrossFit Athletic Academy,35.0,70.0,190.0,1:07,315.0,260.0,525.0,435.0,70.0
Pepe Alvarez,,34.0,71.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Mitchell Yaffee,Ruination CrossFit,20.0,71.0,185.0,1:09,300.0,250.0,467.0,355.0,40.0
David Jones,CrossFit Krypton,44.0,69.0,189.0,--,285.0,235.0,503.0,425.0,40.0
Mickey Kilmartin,CrossFit Free,30.0,68.0,189.0,--,305.0,235.0,450.0,400.0,0.0
Taylor Yaffee,Unaffiliated,24.0,71.0,195.0,1:00,310.0,250.0,500.0,405.0,50.0
Travis Boyd,CrossFit Big D,29.0,70.0,0.0,--,315.0,255.0,475.0,455.0,0.0
William Dermody,Unaffiliated,25.0,73.0,210.0,--,0.0,0.0,0.0,0.0,0.0
Matho Vizcarra,CrossFit Q21,26.0,7.0,298.0,--,0.0,0.0,0.0,0.0,0.0
Jake Allen,Pale Horse CrossFit,25.0,69.0,174.0,0:00,0.0,0.0,0.0,0.0,0.0
Matt Lutz,CrossFit Revamped,23.0,69.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Sebastien Ferket,CrossFit Asterion,30.0,7.0,197.0,0:00,0.0,0.0,0.0,0.0,0.0
James Barber,CrossFit Sweat Shop,30.0,68.0,167.0,--,0.0,240.0,0.0,373.0,50.0
Kyle Broom,Unaffiliated,25.0,70.0,175.0,--,295.0,245.0,465.0,355.0,0.0
Nathan Flach,CrossFit Rikr,29.0,69.0,0.0,1:02,305.0,260.0,470.0,415.0,42.0
Sebastian Costas,Suyai CrossFit Parque Chas,28.0,7.0,187.0,--,286.0,231.0,440.0,396.0,0.0
Simon Gravel,,26.0,75.0,195.0,--,275.0,245.0,425.0,395.0,54.0
Alex Kowalewski,CrossFit Maximus Nashland,20.0,71.0,187.0,0:55,315.0,270.0,455.0,375.0,0.0
Brandon Sauers,South Mountain CrossFit,32.0,70.0,185.0,0:00,225.0,0.0,415.0,0.0,0.0
Christopher Gibbs,Upper Hutt CrossFit,36.0,6.0,169.0,53:00,264.0,189.0,429.0,341.0,45.0
Tom Higgins,VC CrossFit,30.0,0.0,165.0,--,0.0,0.0,0.0,0.0,0.0
Keith Shui,Three Kings CrossFit,37.0,64.0,148.0,0:00,0.0,0.0,0.0,0.0,0.0
Eli Shipley,CrossFit Lee's Summit (LS),24.0,0.0,220.0,--,0.0,0.0,0.0,0.0,0.0
Sean ODeay,CrossFit Amplify,36.0,74.0,212.0,--,310.0,250.0,465.0,405.0,45.0
cory mann,CrossFit Esprit,29.0,67.0,179.0,0:00,285.0,225.0,505.0,385.0,50.0
Kyle Koontz,CrossFit On Track,28.0,72.0,185.0,--,264.0,210.0,460.0,315.0,45.0
Judson Cole,,21.0,69.0,180.0,--,265.0,225.0,490.0,385.0,61.0
Shane O'Donnell,Unaffiliated,27.0,72.0,176.0,--,295.0,225.0,415.0,375.0,62.0
Phil Mosolino,CrossFit 570,23.0,71.0,190.0,--,305.0,245.0,465.0,415.0,0.0
Jared VanTassel,Bear Republic CrossFit,30.0,76.0,205.0,--,0.0,0.0,0.0,0.0,0.0
Jérôme Arnaud,LXXXIII CrossFit,29.0,7.0,212.0,--,275.0,229.0,440.0,374.0,52.0
Jerad Aasen,CrossFit Minot,26.0,72.0,188.0,--,0.0,0.0,0.0,0.0,0.0
Zack Viera,Unaffiliated,20.0,65.0,150.0,0:58,280.0,215.0,415.0,375.0,70.0
Derek Foltz,CrossFit Reaction,24.0,69.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Alexander Husgen,CrossFit Essen,22.0,7.0,205.0,--,275.0,220.0,529.0,429.0,40.0
Kevin Banas,CrossFit E-Town,25.0,72.0,190.0,3:25,285.0,225.0,405.0,365.0,6.0
Duran Justavino,CrossFit Hattiesburg,29.0,74.0,215.0,0:00,300.0,250.0,545.0,425.0,0.0
Spencer Joe,B-FIT CrossFit,19.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Liam Beechinor,CrossFit Jaakarhu,23.0,73.0,205.0,--,335.0,265.0,515.0,455.0,40.0
Tory Brown,CrossFit 406,26.0,68.0,168.0,--,0.0,0.0,0.0,0.0,0.0
Lachlan Dansie,CrossFit Canada Bay,38.0,6.0,170.0,0:00,0.0,0.0,363.0,242.0,0.0
Anthony Mucurio,CrossFit Utica,33.0,69.0,185.0,--,275.0,205.0,450.0,365.0,42.0
Marco Toldbod,CrossFit Osterbro,27.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,0.0
Kamil Wentowski,CrossFit 3miasto,25.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Kay Ziesemer,CrossFit Purmerend,24.0,7.0,210.0,--,0.0,0.0,0.0,0.0,0.0
Arnt-Inge Rongevær,CrossFit Asane,25.0,6.0,180.0,0:56,264.0,220.0,507.0,396.0,40.0
Ryan Hill,CrossFit Haymaker,33.0,0.0,176.0,--,0.0,0.0,0.0,0.0,0.0
Milos Vlahovic,,32.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Liam Houlton,CrossFit Civitas,27.0,7.0,202.0,1:05,319.0,264.0,462.0,396.0,50.0
Eydstein Simonsen,CrossFit Nordvest,39.0,6.0,174.0,--,231.0,0.0,330.0,330.0,31.0
John Champion,Legion CrossFit,21.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Marcel-Luc Verdon,Option CrossFit,36.0,64.0,155.0,--,235.0,175.0,0.0,355.0,0.0
Dan Lewis,CrossFit RDU,27.0,70.0,185.0,--,300.0,260.0,465.0,375.0,51.0
Rasmus Hentze,Fabrikken CrossFit (Slagelse),23.0,6.0,169.0,--,0.0,0.0,0.0,0.0,0.0
James Howarth,BrewCity CrossFit,32.0,0.0,190.0,--,0.0,0.0,0.0,0.0,0.0
Rasmus Andersen,CrossFit Butcher's Lab,19.0,6.0,160.0,0:00,275.0,231.0,407.0,385.0,0.0
Scott Chan,ULT CrossFit,27.0,7.0,183.0,--,0.0,220.0,0.0,429.0,57.0
Ian Kelly,CrossFit Yuma,22.0,0.0,172.0,--,0.0,0.0,0.0,0.0,0.0
John Shannon,Unaffiliated,28.0,72.0,188.0,--,0.0,0.0,0.0,0.0,0.0
Nicholas Libert,CrossFit Tundra,25.0,0.0,202.0,--,0.0,0.0,0.0,0.0,0.0
Rafael Nunes kilipper,CrossFit Sinistro,25.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Adam Gerlach,Mighty Warrior CrossFit,30.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Darwin Perez,Unaffiliated,27.0,67.0,180.0,--,355.0,285.0,555.0,525.0,0.0
Jean-Charles Besnard,Casa CrossFit,31.0,6.0,180.0,1:01,299.0,242.0,496.0,405.0,53.0
Andrew Rosenbaum,Boise CrossFit,36.0,66.0,184.0,--,335.0,245.0,505.0,505.0,52.0
Bryan Diaz,CrossFit Costa Mesa,33.0,69.0,200.0,0:57,335.0,260.0,585.0,485.0,57.0
Greg Gross,CrossFit Athlete Inside (AI),25.0,71.0,196.0,1:05,290.0,235.0,480.0,370.0,30.0
Keith Enderlein,LumberYard CrossFit,27.0,72.0,187.0,--,330.0,0.0,565.0,555.0,0.0
Alfredo Pascal,Peak 360 CrossFit,33.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Ben Suranko,Gas City CrossFit,27.0,73.0,205.0,0:59,320.0,265.0,520.0,460.0,43.0
David Rochon,CrossFit Pyro,34.0,68.0,190.0,1:04,300.0,245.0,485.0,400.0,55.0
Brendan Marolda,Yankee CrossFit,32.0,67.0,179.0,1:10,320.0,260.0,505.0,425.0,69.0
Evan Morris,CrossFit 505,23.0,0.0,0.0,0:00,324.0,253.0,507.0,440.0,0.0
Doug Hildreth,Newberg CrossFit Rebuilt,31.0,71.0,196.0,0:59,320.0,264.0,547.0,425.0,59.0
Nate Dietzenbach,Unaffiliated,24.0,72.0,200.0,--,0.0,0.0,505.0,0.0,0.0
Nicolai Mainz,CrossFit Gold Box,28.0,6.0,189.0,--,308.0,242.0,440.0,374.0,42.0
Dex Hopkins,CrossFit Maximus Nashland,28.0,74.0,219.0,1:09,3350.0,2285.0,515.0,485.0,74.0
Steven Cristini,Reebok CrossFit East Woodbridge,26.0,72.0,205.0,--,340.0,285.0,525.0,440.0,0.0
Gregory DeGreen,Torture Chamber CrossFit,34.0,69.0,198.0,--,305.0,250.0,545.0,475.0,50.0
Cliff Cotton,Backcountry CrossFit,34.0,72.0,208.0,--,315.0,235.0,535.0,425.0,0.0
Luke Betts,CrossFit Maple Ridge,27.0,72.0,180.0,--,315.0,225.0,0.0,0.0,0.0
Ashley Jordan,South Loop CrossFit,27.0,72.0,215.0,--,365.0,300.0,595.0,450.0,52.0
Justin Heimiller,CrossFit Reality,34.0,74.0,228.0,--,325.0,265.0,485.0,405.0,52.0
Tyler Wilcox,CrossFit ASAP,25.0,70.0,175.0,--,300.0,250.0,495.0,385.0,0.0
Tim Medlicott,CrossFit Dunedin,25.0,6.0,198.0,1:02,286.0,249.0,485.0,396.0,0.0
Joey Arnold,CrossFit X-Factor,29.0,69.0,195.0,1:00,335.0,265.0,0.0,445.0,69.0
Dustin Virgil,Atascadero CrossFit,32.0,72.0,195.0,--,0.0,0.0,0.0,0.0,0.0
Josh Bremner,,23.0,0.0,178.0,--,275.0,222.0,462.0,352.0,0.0
Kyle Cook,CrossFit South Denver,29.0,73.0,193.0,0:49,315.0,255.0,445.0,410.0,0.0
Paul Morton,CrossFit Mountain's Edge,25.0,73.0,225.0,--,325.0,240.0,605.0,435.0,44.0
Moises Sevilla,Unaffiliated,27.0,7.0,171.0,0:00,295.0,225.0,500.0,405.0,65.0
Stephane Cossette,,27.0,7.0,209.0,--,245.0,0.0,565.0,500.0,0.0
Bernhard van Renssen,RTF CrossFit Repeat,23.0,0.0,185.0,--,0.0,0.0,0.0,0.0,0.0
Kenny Lyman,CrossFit Utah Valley,26.0,71.0,210.0,--,305.0,265.0,545.0,425.0,0.0
Anthony Torres,Dog House CrossFit,35.0,66.0,184.0,--,0.0,0.0,0.0,0.0,0.0
Brandon Arndt,Unaffiliated,25.0,67.0,188.0,--,305.0,255.0,500.0,410.0,50.0
Colby Thomason,Koda CrossFit,25.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Naon Mighall,CrossFit Artax,26.0,6.0,154.0,--,0.0,50.0,0.0,176.0,8.0
Phil Cress,CrossFit Kitchener,23.0,70.0,215.0,0:00,315.0,250.0,455.0,425.0,31.0
Omar Msameh,CrossFit 962,22.0,6.0,165.0,--,255.0,215.0,425.0,390.0,0.0
Ken Battiston,CrossFit SkyFall,28.0,72.0,209.0,0:00,385.0,305.0,550.0,505.0,50.0
Cory Spelman,CrossFit Grandview,26.0,69.0,185.0,--,0.0,0.0,0.0,0.0,0.0
James Lancaster,Unaffiliated,28.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Jesse Moggo,CrossFit Bay City,27.0,67.0,170.0,--,242.0,205.0,455.0,345.0,0.0
Mitchell Harbaugh,CrossFit 1 Force,22.0,69.0,180.0,--,310.0,250.0,500.0,460.0,65.0
Glenn Powell,CrossFit Paradox,29.0,66.0,180.0,--,285.0,235.0,430.0,365.0,50.0
Aydan Poko,CrossFit Papamoa,23.0,7.0,206.0,--,275.0,198.0,485.0,374.0,23.0
Jent Botterman,Top Fuel CrossFit,26.0,0.0,200.0,--,0.0,0.0,0.0,0.0,0.0
George Hay,CrossFit Closer,21.0,69.0,199.0,--,235.0,185.0,350.0,315.0,0.0
Parker Gray,Falcon CrossFit,21.0,70.0,185.0,0:56,265.0,205.0,365.0,355.0,60.0
Martin Bowden,CrossFit Plus,34.0,7.0,198.0,1:00,304.0,264.0,507.0,440.0,47.0
Jordan Reiley,CrossFit Kingstowne,24.0,68.0,175.0,1:12,285.0,245.0,435.0,370.0,0.0
Justin Sarubbi,JSA CrossFit,27.0,69.0,195.0,1:02,320.0,250.0,510.0,450.0,40.0
Dustin Tovar,CrossFit Omaha,34.0,64.0,150.0,0:00,260.0,192.0,402.0,385.0,52.0
Christopher Vilagi,CrossFit Falun,21.0,7.0,198.0,--,286.0,242.0,418.0,352.0,0.0
Clint Desoto,CrossFit Performance,37.0,71.0,190.0,--,322.0,260.0,565.0,425.0,44.0
Patrick Lahaie,CrossFit Vaudreuil,29.0,7.0,193.0,--,0.0,0.0,415.0,295.0,0.0
Greg O'Donnell,CrossFit South Central Mass,23.0,71.0,188.0,--,0.0,0.0,0.0,0.0,0.0
Miguel Robledo,CrossFit 061,23.0,70.0,169.0,--,295.0,235.0,485.0,355.0,56.0
Lars Jakobeit,CrossFit Aorta,28.0,0.0,209.0,--,0.0,0.0,0.0,0.0,0.0
Brett Blair,Sigma CrossFit,27.0,72.0,190.0,--,305.0,235.0,560.0,465.0,0.0
Mike Ford,CrossFit Forth Valley,27.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Josh Wilson,Sturgis CrossFit,33.0,72.0,172.0,--,0.0,0.0,0.0,0.0,0.0
Nick Steinley,CrossFit Explode,21.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,0.0
jonny knapczyk,CrossFit Jaakarhu,28.0,0.0,185.0,--,0.0,0.0,0.0,0.0,0.0
Kody Frank,Brick Wall CrossFit,24.0,0.0,185.0,--,0.0,0.0,0.0,0.0,0.0
Robert Keefe,Unaffiliated,26.0,72.0,199.0,0:00,285.0,235.0,425.0,400.0,35.0
Ben Sawyer,CrossFit Perpetua,25.0,68.0,175.0,0:57,308.0,240.0,491.0,451.0,61.0
Boris Benke,CrossFit Celle,27.0,6.0,182.0,--,0.0,0.0,374.0,0.0,0.0
Cord Gunnin,CrossFit Winder,24.0,72.0,185.0,1:10,349.0,286.0,475.0,415.0,57.0
Casper Slynge,CrossFit Butcher's Lab,30.0,7.0,187.0,--,0.0,0.0,491.0,374.0,45.0
Sam Bowles,CrossFit Iniquus,31.0,69.0,175.0,--,215.0,155.0,415.0,305.0,0.0
Michalis Evryviades,CrossFit Rogue Forge,28.0,0.0,190.0,--,0.0,0.0,0.0,0.0,13.0
Tyler MacDonald,CrossFit Bridgewater,23.0,69.0,185.0,0:57,265.0,225.0,455.0,405.0,60.0
Jeff Fee,CrossFit Construct,30.0,68.0,169.0,1:02,275.0,244.0,475.0,385.0,69.0
Jeffrey Rodriguez,411 CrossFit,24.0,67.0,150.0,--,245.0,190.0,425.0,355.0,50.0
Sean Glanzmann,CrossFit Love,30.0,68.0,158.0,0:50,290.0,235.0,500.0,365.0,63.0
John Kilroy,CrossFit Sprag,27.0,70.0,195.0,1:09,295.0,245.0,450.0,375.0,0.0
Jens Brackland,CrossFit Wild Pack,30.0,7.0,191.0,0:00,264.0,220.0,0.0,0.0,50.0
Garrett Bolella,CrossFit Stamford,29.0,68.0,155.0,0:00,220.0,190.0,0.0,300.0,0.0
Matteo Fischer Giovannetti,CrossFit Original Addicts,24.0,7.0,187.0,1:10,231.0,182.0,363.0,330.0,60.0
Fredrik Elfgren,CrossFit Solid,28.0,0.0,200.0,--,0.0,0.0,0.0,0.0,0.0
Sean Cather,Offshore CrossFit,36.0,66.0,170.0,0:00,265.0,220.0,445.0,400.0,61.0
Farouk Houssein,CrossFit Dynamix,27.0,67.0,176.0,--,305.0,255.0,500.0,405.0,54.0
Lucas Nichols,Unaffiliated,35.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Alberto Martin Villarroya,Unaffiliated,28.0,0.0,158.0,--,0.0,0.0,0.0,0.0,0.0
Colin Dupreay,Wreck Room CrossFit,23.0,65.0,155.0,--,275.0,220.0,425.0,0.0,0.0
Jonathan Pink,CrossFit Colfax,30.0,69.0,155.0,0:57,265.0,205.0,470.0,400.0,90.0
Billy Marshall,CrossFit Rife,27.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Jay Harmon,SEC CrossFit,27.0,71.0,195.0,--,315.0,255.0,535.0,475.0,0.0
jose perez,,36.0,6.0,80.0,1:02,308.0,242.0,496.0,440.0,0.0
Ram Dover,CrossFit TLV,29.0,7.0,189.0,1:02,286.0,231.0,462.0,396.0,40.0
Arno van der Merwe,CrossFit Paarl,21.0,6.0,182.0,--,264.0,225.0,505.0,418.0,0.0
Luke Kruckemeyer,Woodward CrossFit,26.0,72.0,206.0,--,360.0,290.0,600.0,450.0,50.0
Hyungu Cho,CrossFit Bigfoot,29.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Chase Popp,CrossFit Battle Ready,20.0,72.0,192.0,0:00,0.0,0.0,0.0,0.0,0.0
Jonathan Gibbons,Unaffiliated,29.0,69.0,200.0,--,320.0,255.0,490.0,475.0,0.0
Rolo Gomez,Instinto CrossFit,33.0,6.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Oleksiy Dakhno,Chinook CrossFit,27.0,73.0,190.0,0:00,0.0,0.0,0.0,0.0,0.0
Taylor Stewart,CrossFit Bytown,26.0,70.0,185.0,--,315.0,240.0,500.0,405.0,0.0
Joshua Arcona,12 Labours CrossFit,26.0,72.0,214.0,0:52,375.0,315.0,555.0,525.0,70.0
Joshua Rempel,Targhee CrossFit,35.0,76.0,225.0,0:00,340.0,260.0,500.0,425.0,0.0
Zeke Cabell,CrossFit Vic City,38.0,73.0,192.0,--,0.0,0.0,0.0,0.0,0.0
Maxim Bouchard,CrossFit 2342,27.0,68.0,190.0,--,0.0,0.0,0.0,0.0,0.0
Andre Brule,Unaffiliated,30.0,70.0,180.0,--,255.0,195.0,455.0,405.0,0.0
Cem Duru,Legion CrossFit,28.0,7.0,230.0,--,353.0,253.0,518.0,485.0,52.0
Ryon O'Neill,CrossFit Monterey,28.0,60.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Konner Knudtsen,Ellensburg CrossFit,24.0,75.0,220.0,--,0.0,0.0,0.0,0.0,0.0
Drew Tacher,Unaffiliated,23.0,60.0,195.0,--,295.0,235.0,475.0,425.0,0.0
Zacq Hale,Boise CrossFit,28.0,70.0,175.0,--,305.0,225.0,470.0,400.0,59.0
Ryan Gile,CrossFit Lifeworx,28.0,66.0,175.0,--,290.0,242.0,465.0,405.0,40.0
James Braun,CrossFit West Valley,37.0,69.0,198.0,1:06,285.0,215.0,550.0,450.0,40.0
Jack Corcoran,CrossFit Parallax,29.0,73.0,207.0,--,335.0,275.0,535.0,435.0,60.0
